Id,Type,Quantity,Sales,Shipping,Customer Name,Province,Region
1,Office Supplies,6,261.54,Regular Air,Muhammed MacIntyre,Nunavut,Nunavut
2,Office Supplies,49,10123.02,Delivery Truck,Barry French,Nunavut,Nunavut
3,Office Supplies,27,244.57,Regular Air,Barry French,Nunavut,Nunavut
4,Technology,30,4965.7595,Regular Air,Clay Rozendal,Nunavut,Nunavut
5,Office Supplies,19,394.27,Regular Air,Carlos Soltero,Nunavut,Nunavut
6,Furniture,21,146.69,Regular Air,Carlos Soltero,Nunavut,Nunavut
7,Office Supplies,12,93.54,Regular Air,Carl Jackson,Nunavut,Nunavut
8,Office Supplies,22,905.08,Regular Air,Carl Jackson,Nunavut,Nunavut
9,Office Supplies,21,2781.82,Express Air,Monica Federle,Nunavut,Nunavut
10,Office Supplies,44,228.41,Regular Air,Dorothy Badders,Nunavut,Nunavut
11,Office Supplies,45,196.85,Regular Air,Neola Schneider,Nunavut,Nunavut
12,Office Supplies,32,124.56,Regular Air,Neola Schneider,Nunavut,Nunavut
13,Office Supplies,32,716.84,Regular Air,Carlos Daly,Nunavut,Nunavut
14,Technology,31,1474.33,Regular Air,Carlos Daly,Nunavut,Nunavut
15,Office Supplies,15,80.61,Regular Air,Claudia Miner,Nunavut,Nunavut
16,Furniture,46,1815.49,Regular Air,Neola Schneider,Nunavut,Nunavut
17,Office Supplies,16,248.26,Regular Air,Allen Rosenblatt,Nunavut,Nunavut
18,Furniture,44,4462.23,Delivery Truck,Sylvia Foulston,Nunavut,Nunavut
19,Furniture,11,663.784,Regular Air,Sylvia Foulston,Nunavut,Nunavut
20,Technology,15,834.904,Regular Air,Jim Radford,Nunavut,Nunavut
21,Technology,18,2480.9205,Regular Air,Jim Radford,Nunavut,Nunavut
22,Office Supplies,13,59.03,Express Air,Carlos Soltero,Nunavut,Nunavut
23,Office Supplies,21,97.48,Regular Air,Carlos Soltero,Nunavut,Nunavut
24,Office Supplies,33,511.83,Regular Air,Carl Ludwig,Nunavut,Nunavut
25,Technology,38,184.99,Regular Air,Carl Ludwig,Nunavut,Nunavut
26,Office Supplies,30,80.9,Regular Air,Don Miller,Nunavut,Nunavut
27,Office Supplies,23,67.24,Regular Air,Annie Cyprus,Nunavut,Nunavut
28,Technology,25,12028.23,Delivery Truck,Carl Ludwig,Nunavut,Nunavut
29,Office Supplies,28,370.48,Regular Air,Carlos Soltero,Nunavut,Nunavut
30,Office Supplies,49,278,Regular Air,Grant Carroll,Nunavut,Nunavut
31,Technology,10,66.54,Regular Air,Don Miller,Nunavut,Nunavut
32,Office Supplies,21,845.32,Regular Air,Don Miller,Nunavut,Nunavut
33,Office Supplies,39,282.07,Regular Air,Alan Barnes,Nunavut,Nunavut
34,Technology,24,426.037,Regular Air,Alan Barnes,Nunavut,Nunavut
35,Technology,27,1078.49,Regular Air,Jack Garza,Nunavut,Nunavut
36,Furniture,39,3554.46,Delivery Truck,Julia West,Nunavut,Nunavut
37,Office Supplies,47,191.67,Regular Air,Eugene Barchas,Nunavut,Nunavut
38,Furniture,49,5586.33,Delivery Truck,Eugene Barchas,Nunavut,Nunavut
39,Office Supplies,18,507.64,Regular Air,Eugene Barchas,Nunavut,Nunavut
40,Furniture,30,14223.82,Delivery Truck,Edward Hooks,Nunavut,Nunavut
41,Office Supplies,5,42.66,Regular Air,Brad Eason,Nunavut,Nunavut
42,Office Supplies,21,427.32,Regular Air,Nicole Hansen,Nunavut,Nunavut
43,Technology,8,820.284,Regular Air,Dorothy Wardle,Nunavut,Nunavut
44,Office Supplies,5,14.76,Regular Air,Aaron Bergman,Nunavut,Nunavut
45,Office Supplies,9,89.55,Regular Air,Jim Radford,Nunavut,Nunavut
46,Technology,11,1210.0515,Regular Air,Annie Cyprus,Nunavut,Nunavut
47,Office Supplies,50,187.83,Regular Air,Annie Cyprus,Nunavut,Nunavut
48,Office Supplies,3,49.59,Express Air,Annie Cyprus,Nunavut,Nunavut
49,Technology,30,4253.009,Regular Air,Annie Cyprus,Nunavut,Nunavut
50,Office Supplies,7,59.38,Regular Air,Annie Cyprus,Nunavut,Nunavut
51,Technology,42,1285.37,Regular Air,Clay Rozendal,Nunavut,Nunavut
52,Office Supplies,11,48.91,Regular Air,Don Jones,Nunavut,Nunavut
